,biz_id,all,elite,elite_hat,diff
0,0qJXSTFBnNoh5lMD3LgE0Q,4.218954248366013,4.3076923076923075,4.461538461538462,-0.2425842131724485
1,0ukhgBeLATOo8b8lDobRGg,4.274285714285714,4.222222222222222,4.222222222222222,0.0520634920634917
2,14nIlMhxTXWnJg0Glrr-PQ,3.745833333333333,4.071428571428571,4.076923076923077,-0.3310897435897435
3,1VAX8KygRWcloSuv5x5o5A,4.227513227513228,4.147058823529412,4.1875,0.04001322751322789
4,1i63faxXI1TQ7pNlLp3IPQ,4.069256756756757,4.037037037037037,4.074074074074074,-0.004817317317317382
5,1q3u0GmFKRKPV_ikCiCbUw,4.1953428201811125,4.488888888888889,4.551020408163265,-0.35567758798215277
6,3CrAvu81KXQ31hdiL5_HTw,4.277777777777778,4.4,4.25,0.02777777777777768
7,4fzjAjzLCnjWfQP1sOHiwA,4.4476744186046515,4.428571428571429,4.428571428571429,0.01910299003322269
8,57d0Gmx4JKuKQWyJYu0yfg,4.501079913606912,4.5,4.411764705882353,0.08931520772455848
9,59qvYQ6joOWJpwR3kfy7jQ,4.0458015267175576,3.142857142857143,3.142857142857143,0.9029443838604148
10,5Z0M3VkIccVWVKsXDwUgoQ,3.852272727272727,3.6,4.0,-0.14772727272727293
11,5enPbMFK_ZAtoVzlU0dtFg,4.533333333333333,5.0,5.0,-0.4666666666666668
12,6VTj9WahLNw8i6bKAA7kvw,2.8697068403908794,3.7096774193548385,3.7857142857142856,-0.9160074453234062
13,6wGHem2o7migh4syWmmB8A,3.9626168224299065,4.0,4.166666666666667,-0.20404984423676042
14,6yqPYHtG4LpOVushEzrxXw,3.840909090909091,4.0,4.0,-0.15909090909090917
15,7895YHS5qGu03R-C6aYg9g,4.304452466907341,4.526315789473684,4.575,-0.27054753309265944
16,7O7qSDSVwudKkhoIqhoNwQ,4.3203125,4.5,4.5,-0.1796875
17,9TLfCS60bIu5DLY4JBfNLw,4.517241379310345,5.0,5.0,-0.4827586206896548
18,9VWaP_2svx5SYdAisNkRYQ,4.666666666666667,5.0,5.0,-0.33333333333333304
19,9XUI9R55hL5Jb8IVeArs5g,3.9305019305019306,4.090909090909091,4.111111111111111,-0.18060918060918008
20,9x8tQvdczbrNaTsQJWRiCQ,4.5233644859813085,4.5,4.285714285714286,0.23765020026702288
21,ALYQ-uM_uMkKbkXlhWcgbQ,4.245901639344262,4.342105263157895,4.3108108108108105,-0.06490917146654862
22,ApwmEiStq9aP9-Tf2xfVtA,4.115942028985507,4.194444444444445,4.145631067961165,-0.029689038975658555
23,BSUDAiXd50PAkfFAztVpDw,4.843624699278267,4.747474747474747,4.786516853932584,0.05710784534568347
24,BWcserrn-VAvcWufKnsP_Q,3.872549019607843,3.6153846153846154,3.6666666666666665,0.20588235294117663
25,COgw5a3B_fwmN0BbZObJwg,4.27741935483871,3.7142857142857144,3.588235294117647,0.6891840607210624
26,CxQ1m2iY4wQpXC64tSfWgQ,4.20817643894567,4.351648351648351,4.378947368421053,-0.17077092947538297
27,DTALvZKBJH8XVAKfcQseYQ,3.893013100436681,3.925925925925926,3.9166666666666665,-0.02365356622998549
28,ERVKNes7rXoQg4J0gWhMdg,4.083333333333333,5.0,5.0,-0.916666666666667
29,EmJOkTKIwgm7QJbls7hN3w,4.050691244239632,4.363636363636363,4.359375,-0.30868375576036833
30,GJxFtnTqTiokFedNrW9iDQ,4.517253646389185,4.478927203065134,4.511210762331839,0.0060428840573463205
31,GgwjulR_-ik36RnEr_MVug,4.366666666666666,4.75,4.75,-0.38333333333333375
32,HdOxf-muJnhpBaV_8J65tg,4.681233933161954,4.5,4.5,0.1812339331619537
33,JfgsCMKJOCMg1O2iK4ObWA,3.6494949494949496,3.707692307692308,3.65625,-0.006755050505050431
34,Jn-F5K1Ow_zaC0Sps7NC1Q,3.8125,3.9714285714285715,4.0588235294117645,-0.2463235294117645
35,JtIt-VshqofckWkbBG6cRA,4.406976744186046,4.333333333333333,4.181818181818182,0.2251585623678647
36,K10Bdyt8gtwXNOoj87ZvuQ,4.103703703703704,3.7777777777777777,4.0,0.10370370370370363
37,KD3vnYvuHpfC_sYeWkgUTA,4.59,5.0,5.0,-0.41000000000000014
38,Kcva2t7e6Ukpb5vMvkdc2w,3.9175824175824174,3.625,3.625,0.29258241758241743
39,KqHES_Rr8btKCdz4RmpR_Q,5.0,5.0,5.0,0.0
40,LyizNBLFLB4Qkx_0_8_BaQ,3.8834355828220857,4.0181818181818185,4.02,-0.1365644171779139
41,MurRZhxMFipelvK2zzHRaw,4.375,4.391304347826087,4.315789473684211,0.05921052631578938
42,OD97PIrms4dSxVbdT1T7Bw,4.086956521739131,4.375,4.454545454545454,-0.3675889328063233
43,Or5vdm-okztVKK8-3Wm1FQ,4.005681818181818,4.5,4.590909090909091,-0.5852272727272725
44,Pl2c7HLD9UgFL2zHP0cZVQ,4.017182130584192,4.545454545454546,4.625,-0.6078178694158076
45,QW3anlt1nJ9aNkdQAV-Ifw,3.2823871906841338,3.712121212121212,3.6615384615384614,-0.37915127085432765
46,Qd6r9d5EcIRY3bWRW7-rBg,4.45421686746988,4.372093023255814,4.3478260869565215,0.10639078051335815
47,S9NvWyHUPsuYK7ObMV43pA,4.557142857142857,4.333333333333333,4.368421052631579,0.18872180451127818
48,Slj9yz_RfDRqiMRH8VxUMQ,3.9323583180987205,3.861111111111111,3.8684210526315788,0.06393726546714174
49,SuA90sXOd6Jw9W_Bz6P1RA,4.028540065861691,4.155172413793103,4.206896551724138,-0.17835648586244712
50,TA1KUSCu8GkWP9w0rmElxw,3.984573502722323,3.923076923076923,3.851063829787234,0.13350967293508909
51,U-i6cq-yFRVJC4pIKSLX9Q,4.398841539098055,4.377593360995851,4.3406113537117905,0.058230185386264566
